stock,week,metric,value
9323.0,week_23,MSE,1.2572499699393994e-07
9323.0,week_23,RMSE,0.0003545772087908
9323.0,week_23,MedAE,0.0002893726405037
9323.0,week_23,MAPE,inf
9323.0,week_23,sMAPE,184.9719424987581
9323.0,week_23,QLIKE,25.62276376706544
9323.0,week_24,R2,-1.561917707999399
9323.0,week_24,MSE,5.7033596912716e-08
9323.0,week_24,RMSE,0.0002388170783522
9323.0,week_24,MedAE,0.0001579147668823
9323.0,week_24,MAPE,inf
9323.0,week_24,sMAPE,176.72152053597404
9323.0,week_24,QLIKE,16.043482183456113
9323.0,week_25,R2,-3.960987658106923
9323.0,week_25,MSE,4.789977554098557e-08
9323.0,week_25,RMSE,0.000218860173492
9323.0,week_25,MedAE,0.0001832189503205
9323.0,week_25,MAPE,inf
9323.0,week_25,sMAPE,185.7596816582497
9323.0,week_25,QLIKE,27.96638716112307
9323.0,week_26,R2,-2.966105692856311
9323.0,week_26,MSE,7.44808269442012e-08
9323.0,week_26,RMSE,0.0002729117566983
9323.0,week_26,MedAE,0.0002007877958045
9323.0,week_26,MAPE,inf
9323.0,week_26,sMAPE,182.1327943104139
9323.0,week_26,QLIKE,22.36872071672464
9323.0,week_27,R2,-8.26460355633824
9323.0,week_27,MSE,2.452443896002563e-07
9323.0,week_27,RMSE,0.0004952215560739
9323.0,week_27,MedAE,0.0004351102377594
9323.0,week_27,MAPE,97.23585220367022
9323.0,week_27,sMAPE,189.26614164040723
9323.0,week_27,QLIKE,35.26026656784805
9323.0,week_28,R2,-3.4581650893291176
9323.0,week_28,MSE,7.176048423891657e-08
9323.0,week_28,RMSE,0.0002678814742361
9323.0,week_28,MedAE,0.0002055785342722
9323.0,week_28,MAPE,inf
9323.0,week_28,sMAPE,187.35622521009628
9323.0,week_28,QLIKE,34.73896102214102
9323.0,week_29,R2,-6.103652041068929
9323.0,week_29,MSE,8.38595431740554e-08
9323.0,week_29,RMSE,0.0002895851225012
9323.0,week_29,MedAE,0.0002512513950542
9323.0,week_29,MAPE,inf
9323.0,week_29,sMAPE,183.9803522637028
9323.0,week_29,QLIKE,23.1767761335534
9323.0,week_30,R2,-3.0166851528673586
9323.0,week_30,MSE,5.1583983133057353e-08
9323.0,week_30,RMSE,0.0002271210759332
9323.0,week_30,MedAE,0.0001682764117998
9323.0,week_30,MAPE,inf
9323.0,week_30,sMAPE,185.18842000641672
9323.0,week_30,QLIKE,27.38472083412437
9323.0,week_31,R2,-3.2338884253419504
9323.0,week_31,MSE,1.6736325214127477e-07
9323.0,week_31,RMSE,0.0004091005403825
9323.0,week_31,MedAE,0.0003013992249313
9323.0,week_31,MAPE,inf
9323.0,week_31,sMAPE,193.43355957626392
9323.0,week_31,QLIKE,68.59850067545277
9323.0,week_32,R2,-4.422014035386566
9323.0,week_32,MSE,5.608776539088456e-08
9323.0,week_32,RMSE,0.0002368285569581
9323.0,week_32,MedAE,0.0001908455976244
9323.0,week_32,MAPE,inf
9323.0,week_32,sMAPE,181.8118216546973
9323.0,week_32,QLIKE,21.760900771743824
9323.0,week_33,R2,-3.8214345434589294
9323.0,week_33,MSE,8.719692486689007e-08
9323.0,week_33,RMSE,0.0002952912543013
9323.0,week_33,MedAE,0.000224438454227
9323.0,week_33,MAPE,96.87149613853438
9323.0,week_33,sMAPE,187.95545192613417
9323.0,week_33,QLIKE,35.807684942839884
9323.0,week_34,R2,-4.500909245325424
9323.0,week_34,MSE,8.6320666917787e-08
9323.0,week_34,RMSE,0.0002938037898288
9323.0,week_34,MedAE,0.0002364252210256
9323.0,week_34,MAPE,97.26140426649916
9323.0,week_34,sMAPE,189.3843782737088
9323.0,week_34,QLIKE,38.29831456569773
9323.0,week_35,R2,-6.941528967692284
9323.0,week_35,MSE,1.589669449070026e-07
9323.0,week_35,RMSE,0.0003987065899969
9323.0,week_35,MedAE,0.0003491796048869
9323.0,week_35,MAPE,96.98996575969046
9323.0,week_35,sMAPE,188.3495229459765
9323.0,week_35,QLIKE,32.70490425447038
9323.0,week_36,R2,-7.646555480107281
9323.0,week_36,MSE,1.623893549697271e-07
9323.0,week_36,RMSE,0.0004029756257762
9323.0,week_36,MedAE,0.000351702419555
9323.0,week_36,MAPE,96.0203500818435
9323.0,week_36,sMAPE,184.7496412794481
9323.0,week_36,QLIKE,23.603866549615542
9323.0,week_37,R2,-8.37629568245481
9323.0,week_37,MSE,2.364408029223269e-07
9323.0,week_37,RMSE,0.000486251789634
9323.0,week_37,MedAE,0.0004340874833597
9323.0,week_37,MAPE,98.02778274049548
9323.0,week_37,sMAPE,192.2796835253989
9323.0,week_37,QLIKE,51.395374280591305
9323.0,week_38,R2,-5.307286902941232
9323.0,week_38,MSE,1.1002072026020926e-07
9323.0,week_38,RMSE,0.0003316937145322
9323.0,week_38,MedAE,0.0002862798209197
9323.0,week_38,MAPE,94.0636960326306
9323.0,week_38,sMAPE,177.78208807017313
9323.0,week_38,QLIKE,15.580878800115112
22675.0,week_1,R2,-3.5541241053215025
22675.0,week_1,MSE,8.895050497194807e-08
22675.0,week_1,RMSE,0.0002982457124116
22675.0,week_1,MedAE,0.0002356315446142
22675.0,week_1,MAPE,94.2922856641958
22675.0,week_1,sMAPE,178.83013067365866
22675.0,week_1,QLIKE,19.15076558316792
22675.0,week_2,R2,-3.301014222393672
22675.0,week_2,MSE,6.445881525083835e-08
22675.0,week_2,RMSE,0.0002538874066408
22675.0,week_2,MedAE,0.0002019017009349
22675.0,week_2,MAPE,93.13403700386446
22675.0,week_2,sMAPE,175.15247694256152
22675.0,week_2,QLIKE,16.032549613128868
22675.0,week_3,R2,-2.5596073747011947
22675.0,week_3,MSE,9.756966642594305e-08
22675.0,week_3,RMSE,0.0003123614355613
22675.0,week_3,MedAE,0.0002306941006137
22675.0,week_3,MAPE,91.71871891567665
22675.0,week_3,sMAPE,170.69099738021583
22675.0,week_3,QLIKE,14.361850724142217
22675.0,week_4,R2,-2.5621155798340163
22675.0,week_4,MSE,1.343672704210315e-07
22675.0,week_4,RMSE,0.0003665614142555
22675.0,week_4,MedAE,0.0002707759464273
22675.0,week_4,MAPE,94.34789640418012
22675.0,week_4,sMAPE,179.144261011851
22675.0,week_4,QLIKE,20.85558770230077
22675.0,week_5,R2,-2.5394362110193858
22675.0,week_5,MSE,3.919115754182309e-08
22675.0,week_5,RMSE,0.0001979675668937
22675.0,week_5,MedAE,0.0001464959828925
22675.0,week_5,MAPE,92.39230046571012
22675.0,week_5,sMAPE,172.84062520989883
22675.0,week_5,QLIKE,15.973504605322908
22675.0,week_6,R2,-3.362917808973984
22675.0,week_6,MSE,1.193667236285518e-07
22675.0,week_6,RMSE,0.0003454948966751
22675.0,week_6,MedAE,0.0002749987321548
22675.0,week_6,MAPE,95.65792106329924
22675.0,week_6,sMAPE,183.70185470413423
22675.0,week_6,QLIKE,27.73541326904982
22675.0,week_7,R2,-3.1713140253955974
22675.0,week_7,MSE,1.5634320464760458e-07
22675.0,week_7,RMSE,0.0003954025855347
22675.0,week_7,MedAE,0.000307120412563
22675.0,week_7,MAPE,92.7132184757802
22675.0,week_7,sMAPE,173.46239977459445
22675.0,week_7,QLIKE,14.257001770678688
22675.0,week_8,R2,-4.783779771782271
22675.0,week_8,MSE,2.818016715884373e-07
22675.0,week_8,RMSE,0.0005308499520471
22675.0,week_8,MedAE,0.0004601041754355
22675.0,week_8,MAPE,95.3297719058477
22675.0,week_8,sMAPE,182.58778293164767
22675.0,week_8,QLIKE,26.878993197150905
22675.0,week_9,R2,-4.729939622741185
22675.0,week_9,MSE,2.633570272256669e-07
22675.0,week_9,RMSE,0.0005131832296808
22675.0,week_9,MedAE,0.0004377914928949
22675.0,week_9,MAPE,94.64808998951906
22675.0,week_9,sMAPE,180.10883714208416
22675.0,week_9,QLIKE,21.448422189675828
22675.0,week_10,R2,-264675121.62984297
22675.0,week_10,MSE,12.498629050289212
22675.0,week_10,RMSE,3.535340019048976
22675.0,week_10,MedAE,0.0003908043145106
22675.0,week_10,MAPE,346127.96791736234
22675.0,week_10,sMAPE,185.39871910747112
22675.0,week_10,QLIKE,27.59862472701468
22675.0,week_11,R2,-6.083597051165516
22675.0,week_11,MSE,1.415819206672716e-07
22675.0,week_11,RMSE,0.0003762737310353
22675.0,week_11,MedAE,0.0003291497677741
22675.0,week_11,MAPE,93.88458539532893
22675.0,week_11,sMAPE,177.28948976156005
22675.0,week_11,QLIKE,15.960619419017563
22675.0,week_12,R2,-2.8273853404038927
22675.0,week_12,MSE,6.719218486148075e-08
22675.0,week_12,RMSE,0.0002592145537223
22675.0,week_12,MedAE,0.0002044000197204
22675.0,week_12,MAPE,91.79120706410558
22675.0,week_12,sMAPE,171.2406141201745
22675.0,week_12,QLIKE,14.734782421552245
